game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 68k1vezl=q75rg8y1,PC,24m 36.310s,https://www.youtube.com/watch?v=TYbqVOCupe8,,solo,2025-02-25,1,sheetau,,,,http://www.speedrun.com/BO6Zombies/run/z08d39em,verified
Call of Duty: Black Ops 6 Zombies,,The Tomb,yn26gvjl=ln8kzvol; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 6njprv5n=q5v7gj7l,PC,28m 39.990s,https://www.youtube.com/watch?v=t0EVzk9UiMo,,solo,2025-02-12,1,sheetau,,,,http://www.speedrun.com/BO6Zombies/run/z08n41em,verified
