game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=5leo05qo,PlayStation 4,2h 9m 21.000s,https://youtu.be/lJrlxRA4UTA,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/m3vxnegz,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=p12x9x4l; 2lg396np=5leo55qo; 6njz75l4=21d554le,PlayStation 4,1h 0m 38.000s,https://youtu.be/lJrlxRA4UTA,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/z5wx09jz,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=p12x9x4l; 2lg396np=5leo55qo; 6njz75l4=5q82d8rq,PlayStation 4,27m 30.000s,https://youtu.be/lJrlxRA4UTA,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/m7lx8r9y,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=p12x9x4l; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,PlayStation 4,5m 38.000s,https://youtu.be/lJrlxRA4UTA,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/z16g8ewm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=z198x88q; 2lg396np=5leo55qo; wlewprl6=5q8ppgld,PlayStation 4,1h 35m 19.000s,https://youtu.be/DoZKUyM8Js0,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/y8gxv7xz,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=z198x88q; 2lg396np=5leo55qo; wlewprl6=21dv3g31,PlayStation 4,58m 41.000s,https://www.youtube.com/watch?v=DoZKUyM8Js0&t=2472s,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/y6jx610m,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=z198x88q; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PlayStation 4,12m 42.000s,https://www.youtube.com/watch?v=DoZKUyM8Js0&t=2472s,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/y28evo7y,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=5leo55qo; 2lg7k6lp=jqzgjg4l,PlayStation 4,4h 1m 37.000s,https://youtu.be/yYQFtzayf30,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/m3vxnpgz,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=4qyj782q; 2lg396np=5leo55qo; 2lg7k6lp=21g9m9xq,PlayStation 4,2h 15m 20.000s,https://youtu.be/yYQFtzayf30,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/z5wx0qjz,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=4qyj782q; 2lg396np=5leo55qo; 2lg7k6lp=5le3mzpq,PlayStation 4,40m 47.000s,https://youtu.be/yYQFtzayf30,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/m7lx8k9y,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=4qyj782q; 2lg396np=5leo55qo; 2lg7k6lp=81p46ng1,PlayStation 4,7m 18.000s,https://youtu.be/yYQFtzayf30,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/y9exnqrz,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=klryx6mq; 2lg396np=5leo55qo; 789ye5nw=p12979vl,PlayStation 4,1h 4m 18.000s,https://youtu.be/PUYwIjGlASc,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/ylj1owxm,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=klryx6mq; 2lg396np=5leo55qo; 789ye5nw=rqv6eo5l,PlayStation 4,27m 1.000s,https://youtu.be/PUYwIjGlASc,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/yw2607ny,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=klryx6mq; 2lg396np=5leo55qo; 789ye5nw=p12o4z7l,PlayStation 4,5m 3.000s,https://youtu.be/PUYwIjGlASc,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/y6jx640m,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=5q8d4r3l; 2lg396np=5leo55qo; 789ye5nw=81pe9eel,PlayStation 4,1h 57m 59.000s,https://youtu.be/PUYwIjGlASc,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/y28ev47y,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=gq7r2zdl; 2lg396np=5leo55qo; ylp4kjlg=4lxgn5jq,PlayStation 4,57m 10.000s,https://youtu.be/Wwo4s2xaV00,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/z00l649z,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=gq7r2zdl; 2lg396np=5leo55qo; ylp4kjlg=013w57kq,PlayStation 4,26m 45.000s,https://youtu.be/Wwo4s2xaV00,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/zqp9gorm,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=gq7r2zdl; 2lg396np=5leo55qo; ylp4kjlg=z195dr0q,PlayStation 4,5m 49.000s,https://youtu.be/Wwo4s2xaV00,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/y4nx243m,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=p12x944l; 2lg396np=5leo55qo; jlzz6xl2=013xgok1,PlayStation 4,1h 1m 47.000s,https://youtu.be/Mez_dIvYJ4c,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/zg6qx1em,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=p12x944l; 2lg396np=5leo55qo; jlzz6xl2=zqomrog1,PlayStation 4,28m 7.000s,https://youtu.be/Mez_dIvYJ4c,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/yw260o3y,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=p12x944l; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,PlayStation 4,4m 59.000s,https://youtu.be/Mez_dIvYJ4c,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/yv702eoy,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=5leo55qo; jlzz6xl2=rqvx8k5l,PlayStation 4,2h 52m 36.000s,https://youtu.be/Mez_dIvYJ4c,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/zqp9gnrm,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=z198xd8q; 2lg396np=5leo55qo; onvmywnm=5lenj2pl,PlayStation 4,2h 42m 38.000s,https://youtu.be/YfhTXySJUPc,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/y9exnwez,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=4lxegd41; 2lg396np=5leo55qo; onvmywnm=rqvx8v5l,PlayStation 4,1h 14m 27.000s,https://youtu.be/YfhTXySJUPc,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/zg6qx9em,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=4lxegd41; 2lg396np=5leo55qo; onvmywnm=81we5o91,PlayStation 4,27m 37.000s,https://youtu.be/YfhTXySJUPc,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/yw26053y,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=4lxegd41; 2lg396np=5leo55qo; onvmywnm=4lx0d42l,PlayStation 4,6m 45.000s,https://youtu.be/YfhTXySJUPc,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/y8gxvndz,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=5leo55qo; ql659jn9=zqoj4xg1,PlayStation 4,1h 44m 27.000s,https://www.youtube.com/watch?v=DrdYSX3DzuM,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/y4nx203m,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=5leo55qo; ql659jn9=81w7y49q,PlayStation 4,33m 34.000s,https://www.youtube.com/watch?v=VG3MT7U7KVY,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/m7lx8l4y,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=rqvexz61; 2lg396np=5leo55qo; ql659jn9=5lm8g6yq,PlayStation 4,15m 38.000s,https://www.youtube.com/watch?v=VG3MT7U7KVY,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/y9exneez,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=rqvexz61; 2lg396np=5leo55qo; ql659jn9=0q5x78m1,PlayStation 4,3m 6.000s,https://www.youtube.com/watch?v=VG3MT7U7KVY,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/zg6qx6em,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=81w57rv1; 2lg396np=5leo55qo; 2lg7e6lp=810624w1,PlayStation 4,1h 33m 4.000s,https://youtu.be/GwVGl-QnZt8,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/m3vxnvdz,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=81w57rv1; 2lg396np=5leo55qo; 2lg7e6lp=jq6yzrn1,PlayStation 4,30m 13.000s,https://youtu.be/GwVGl-QnZt8,,solo,2025-07-01,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/mkwd7oxm,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=jqzxgy81; 2lg396np=5leo55qo; ylp4kjlg=z195dr0q,PlayStation 4,3m 29.000s,https://youtu.be/O34k_LCaHC8,,solo,2021-12-16,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/mr68wg7m,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=jqzxgy81; 2lg396np=5leo55qo; ylp4kjlg=013w57kq,PlayStation 4,16m 41.000s,https://youtu.be/O34k_LCaHC8,,solo,2021-12-16,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/z0o32g8z,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=jqzxgy81; 2lg396np=5leo55qo; ylp4kjlg=4lxgn5jq,PlayStation 4,35m 49.000s,https://youtu.be/O34k_LCaHC8,,solo,2021-12-16,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/y8j9l7nz,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=jqzxgy81; 2lg396np=5leo55qo; ylp4kjlg=8149zowq,PlayStation 4,1h 5m 58.000s,https://youtu.be/O34k_LCaHC8,,solo,2021-12-16,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/y20q6o6m,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=jqzxgy81; 2lg396np=5leo55qo; ylp4kjlg=mlnd9j61,PlayStation 4,1h 58m 32.000s,https://youtu.be/O34k_LCaHC8,,solo,2021-12-16,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/z0o32g4z,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=jqzxgy81; 2lg396np=5leo55qo; ylp4kjlg=z19xnxj1,PlayStation 4,4h 43m 17.000s,https://youtu.be/O34k_LCaHC8,,solo,2021-12-16,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/y9l2g4vy,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=rqvexz61; 2lg396np=5leo55qo; ql659jn9=81w7y49q,PlayStation 4,33m 34.000s,https://www.youtube.com/watch?v=VG3MT7U7KVY,,solo,2021-12-14,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/m7wp075z,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=klryx6mq; 2lg396np=5leo55qo; 789ye5nw=81pe9eel,PlayStation 4,1h 57m 48.000s,https://youtu.be/PUYwIjGlASc,,solo,2021-12-04,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/zxl9rrgz,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=rqvexz61; 2lg396np=5leo55qo; ql659jn9=zqoj4xg1,PlayStation 4,1h 44m 27.000s,https://youtu.be/DrdYSX3DzuM,,solo,2021-12-02,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/zxl980qz,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=z198x88q; 2lg396np=5leo55qo; wlewprl6=4qy994l7,PlayStation 4,2h 48m 35.000s,https://www.youtube.com/watch?v=DoZKUyM8Js0&t,,solo,2021-11-30,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/ywje47nz,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=4qy994l7,PlayStation 4,2h 48m 36.000s,https://youtu.be/DoZKUyM8Js0,,solo,2021-11-29,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/ylj1o8xm,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=4qyj782q; 2lg396np=5leo55qo; 2lg7k6lp=jqzgjg4l,PlayStation 4,4h 1m 36.000s,https://youtu.be/yYQFtzayf30,,solo,2021-11-28,1,Soulslayer434,,,,http://www.speedrun.com/bo3zombies/run/m77rvq0m,verified
