game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,1m 54.233s,https://www.youtube.com/watch?v=_nPuofLmY7A&feature=youtu.be&ab_channel=barti022,,co-op,2020-11-19,2,permab,barti022,,,http://www.speedrun.com/bocwz/run/zpldxxxm,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,2m 9.130s,https://www.youtube.com/watch?v=Qpa4rD-vMB8&ab_channel=barti022,,solo,2020-11-16,1,barti022,,,,http://www.speedrun.com/bocwz/run/yv90j18z,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,2m 20.780s,https://www.youtube.com/watch?v=sQssTb19AB0&feature=youtu.be&ab_channel=barti022,,solo,2020-11-15,1,barti022,,,,http://www.speedrun.com/bocwz/run/zxd71rey,verified
