game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; 789kjr0l=jqz7rg8l,PlayStation 4,4m 27.000s,https://www.youtube.com/watch?v=bq67IfHSz_w&t=14s,,co-op,2023-01-12,2,Lilleman,MenBot115,,,http://www.speedrun.com/iwzombies/run/m720g8ez,verified
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; 6njo6684=5len58ml,PlayStation 4,21m 58.000s,https://www.youtube.com/watch?v=_hGOI3P2oZU,,co-op,2022-11-07,2,Lilleman,MenBot115,,,http://www.speedrun.com/iwzombies/run/yj823n3m,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=21d7j651,PlayStation 4,10m 48.820s,https://www.youtube.com/watch?v=QygVTM574LQ,,co-op,2022-09-15,2,Lilleman,MenBot115,,,http://www.speedrun.com/iwzombies/run/z0nje59m,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; ylq5o7lr=81we9x91,PlayStation 4,4m 22.000s,https://www.youtube.com/watch?v=y7mi-P89k9U&t=240s,,co-op,2022-08-26,2,Lilleman,MenBot115,,,http://www.speedrun.com/iwzombies/run/ywvv81pz,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=0q5v8d2l,PlayStation 4,18m 27.800s,https://youtu.be/SqSlvu0rlGA,,solo,2022-07-16,1,MenBot115,,,,http://www.speedrun.com/iwzombies/run/y60wqrpy,rejected
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 6njo6684=5len58ml,PlayStation 4,23m 9.400s,https://youtu.be/TfbOXF-Jc74,,solo,2022-07-16,1,MenBot115,,,,http://www.speedrun.com/iwzombies/run/zgp18vdz,rejected
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylq5o7lr=gq792yyl,PlayStation 4,14m 29.600s,https://youtu.be/HiTAynmuC-4,,solo,2022-07-16,1,MenBot115,,,,http://www.speedrun.com/iwzombies/run/mr7w24dz,rejected
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylq5o7lr=gq792yyl,PlayStation 4,16m 27.467s,https://youtu.be/4PI049sNnSo,,solo,2022-07-16,1,MenBot115,,,,http://www.speedrun.com/iwzombies/run/z0p2xrey,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylq5o7lr=21ge9kml,PlayStation 4,5m 50.800s,https://youtu.be/48ok86rkJPA,,solo,2022-07-16,1,MenBot115,,,,http://www.speedrun.com/iwzombies/run/yw3onq0m,rejected
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylq5o7lr=21grw98q,PlayStation 4,12m 24.000s,https://www.youtube.com/watch?v=xsdGn9-22KE,,co-op,2022-03-31,2,Lilleman,MenBot115,,,http://www.speedrun.com/iwzombies/run/y4gow3ny,verified
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; 6njo6684=klrwexm1,PlayStation 4,4m 9.000s,https://www.youtube.com/watch?v=kEnO7TOmC6I,,co-op,2022-01-10,2,Lilleman,MenBot115,,,http://www.speedrun.com/iwzombies/run/znjvrglm,verified
