game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=0q56pm1p; wlewprl6=21dvj0j1,PC,6m 11.120s,https://youtu.be/VJA7WaXJo7M,,co-op,2023-03-08,2,H9rp3r,-Orion-,,,http://www.speedrun.com/bo3zombies/run/y4gj0d3y,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=0q56pm1p; gnx65jnv=81py6nk1,PC,5m 20.680s,https://www.youtube.com/watch?v=rdLelF9xsTA,,co-op,2023-03-05,2,-Orion-,H9rp3r,,,http://www.speedrun.com/bo3zombies/run/m3lw6eqm,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=0q56pm1p; gnx65jnv=gq79pdyl,PC,3m 14.260s,https://youtu.be/2Pzfrtug0QM,,co-op,2023-03-05,2,H9rp3r,-Orion-,,,http://www.speedrun.com/bo3zombies/run/m3ljkx4m,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=0q56pm1p; gnx65jnv=gq75zgy1,PC,56m 8.230s,https://www.youtube.com/watch?v=RmX595MY__E,,co-op,2023-03-04,2,H9rp3r,-Orion-,,,http://www.speedrun.com/bo3zombies/run/yol0161y,verified
