game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=0137jrdl; 5ly1w0kl=xqk5k5yq; jlzrv9y8=81wj8nvq,PlayStation 5,37m 18.000s,https://youtu.be/D9fMVYR_Nis,,solo,2021-07-17,1,BLUESxMYxBOY,,,,http://www.speedrun.com/bocwz/run/zn1n929m,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=xqk038n1; gnxj7pgl=810y752l,PlayStation 5,32m 26.000s,https://youtu.be/T7oX092qwGk,,solo,2021-05-04,1,BLUESxMYxBOY,,,,http://www.speedrun.com/bocwz/run/z5r3qxjy,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0137jrdl; 0nw715r8=jqz8rymq; dlo750j8=jq6w74jl,PlayStation 5,38m 38.067s,https://youtu.be/vKCoQ0QGBnU,,solo,2021-04-24,1,BLUESxMYxBOY,,,,http://www.speedrun.com/bocwz/run/z5r7k95y,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=rqvo0d7l; 0nw715r8=jqz8rymq; dlo750j8=jq6w74jl,PlayStation 5,45m 33.000s,https://youtu.be/ZgayIvUrGk8,,co-op,2021-04-07,2,BLUESxMYxBOY,DJaay,,,http://www.speedrun.com/bocwz/run/z509p9ny,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=5lez085l; 0nw715r8=jqz8rymq; dlo750j8=jq6w74jl,PlayStation 5,41m 47.000s,https://youtu.be/r5eE-NRO1NA,,co-op,2021-04-07,3,BLUESxMYxBOY,DJaay,CULO,,http://www.speedrun.com/bocwz/run/y2vlpo5z,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0q5zm8mq; wledm3xn=xqk038n1; gnxj7pgl=810y752l,PlayStation 5,41m 10.000s,https://youtu.be/d5LGgpgKH98,,co-op,2021-03-27,4,BLUESxMYxBOY,THEPLATTER,Djaay,Haywood Jablowme,http://www.speedrun.com/bocwz/run/yd9pl9vz,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=rqvo0d7l; 0nw715r8=jqz8rymq; dlo750j8=jq6w74jl,PlayStation 5,47m 28.580s,https://youtu.be/_OCVpGBmaMs,,co-op,2021-02-26,2,BLUESxMYxBOY,Djaay,,,http://www.speedrun.com/bocwz/run/zx6n00ez,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0q5zm8mq; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PlayStation 5,28m 58.267s,https://www.youtube.com/watch?v=vI4MZ6NkWV8,,co-op,2021-02-07,4,BLUESxMYxBOY,BIGOUNCE,Djaay,Haywood jablowme,http://www.speedrun.com/bocwz/run/zgxglpvm,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=0132y83q; 0nw2z6xn=jqz4y74l,PlayStation 4,32m 32.433s,https://youtu.be/FW5bvnauq3I,,solo,2021-05-06,1,BLUESxMYxBOY,,,,http://www.speedrun.com/bo4zombies/run/yv12qp6y,verified
Call of Duty: Black Ops IIII Zombies,,Blood of the Dead,0nw2zqkn=rqvdzwyq; 5lyjm0yl=0132y83q; 789k790l=jqz4y7kl,PlayStation 4,2m 32.333s,https://youtu.be/nxOibGHoYVk,,solo,2021-05-06,1,BLUESxMYxBOY,,,,http://www.speedrun.com/bo4zombies/run/me79jl3y,verified
