game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=qkem0ndq; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; wlegod2n=1gn2dp6l,PC,2m 36.300s,https://youtu.be/lcusm6f-Ues,,co-op,2025-02-08,3,Nickothy,Peteypoo,Harmon8r,,http://www.speedrun.com/BO6Zombies/run/ydvgq80y,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=10vmvxpl; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,1m 33.160s,https://youtu.be/reM1XtrMxNQ,,co-op,2025-02-08,3,Nickothy,Peteypoo,Harmon8r,,http://www.speedrun.com/BO6Zombies/run/yvn84exm,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=10vmvxpl; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,2m 10.630s,https://youtu.be/pG3ySRbG-8Q,,co-op,2025-02-02,3,Nickothy,Peteypoo,Harmon8r,,http://www.speedrun.com/BO6Zombies/run/yvn0ew4m,rejected
