game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=0q56pm1p; wlewprl6=21dvj0j1,Xbox One,6m 57.000s,https://twitch.tv/xlife_kingx,,co-op,2020-11-05,2,xLIFE-KINGx,THE COD GOD7228,,,http://www.speedrun.com/bo3zombies/run/z1o2157m,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=0q56pm1p; wlewprl6=xqkd5nl9,Xbox One,53m 3.000s,https://twitch.tv/xlife_kingx,,co-op,2020-11-04,2,xLIFE-KINGx,THE COD GOD7228,,,http://www.speedrun.com/bo3zombies/run/y4e850nm,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=z198x88q; 2lg396np=0q56pm1p; wlewprl6=21dvj0j1,Xbox One,8m 33.000s,https://twitch.tv/xlife_kingx,,co-op,2020-11-04,2,xLIFE-KINGx,THE COD GOD7228,,,http://www.speedrun.com/bo3zombies/run/m3g6od4z,rejected
