game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=z195kykq,Xbox One,1m 30.037s,https://www.youtube.com/watch?v=BkAR5sNzrjs&t=6s,,solo,2019-08-12,1,VioletChallice,,,,http://www.speedrun.com/bo3zombies/run/zgkx5x0y,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=z195kykq,Xbox One,1m 30.037s,https://www.youtube.com/watch?v=mspu0NnmxZE&feature=youtu.be,,solo,2019-08-10,1,VioletChallice,,,,http://www.speedrun.com/bo3zombies/run/yl0ojnky,rejected
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=z195kykq,Xbox One,1m 18.007s,https://www.youtube.com/watch?v=yfhLQqvNg20&t=12s,,solo,2019-08-04,1,VioletChallice,,,,http://www.speedrun.com/bo3zombies/run/mk2770lm,rejected
