game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=5leo55qo; ylp4kjlg=8149zowq,PC,1h 11m 2.960s,https://youtu.be/1gdIMsmtNug,,solo,2022-12-21,1,SBDD,,,,http://www.speedrun.com/bo3zombies/run/y2j12v5z,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=rqvx8k5l,PC,1h 2m 10.967s,https://www.youtube.com/watch?v=D7eQqo5wS1E,,solo,2022-11-27,1,SBDD,,,,http://www.speedrun.com/bo3zombies/run/ywve6x9z,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=rqvx8k5l,PC,1h 9m 44.420s,https://www.youtube.com/watch?v=zWVAduceOQM,,solo,2022-05-22,1,SBDD,,,,http://www.speedrun.com/bo3zombies/run/y88e4dxy,verified
