game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 6njo6684=5len58ml,PlayStation 4,22m 58.090s,https://youtu.be/GnnKULqRu5c?si=84-8Pp2TxnXjf2UT,,solo,2023-09-05,1,TheOnlyZae,,,,http://www.speedrun.com/iwzombies/run/y2k11r5y,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 789kjr0l=21gev7xl,PlayStation 4,11m 58.780s,https://youtu.be/a7RRI6Xg7sg?si=hc0vI8bzi6KrCxMW,,solo,2023-04-24,1,TheOnlyZae,,,,http://www.speedrun.com/iwzombies/run/ywn4453y,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylq5o7lr=gq792yyl,PlayStation 4,14m 52.210s,https://youtu.be/oHjnBekXIQU?si=b_nFa57CYlUQknNG,,solo,2023-04-14,1,TheOnlyZae,,,,http://www.speedrun.com/iwzombies/run/yvv335oy,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=0q5v8d2l,PlayStation 4,18m 57.530s,https://youtu.be/0czvcUv_nms?si=1TZIPnrONeJK4J2V,,solo,2023-02-19,1,TheOnlyZae,,,,http://www.speedrun.com/iwzombies/run/m3k112dy,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=zqoxnzxq; onvyp7nm=z19xr7j1,PlayStation 4,1h 10m 29.970s,https://www.youtube.com/watch?v=4kM7yRDMdpQ,,co-op,2022-08-29,4,Lilleman,TheOnlyZae,Skrine,myRazmo,http://www.speedrun.com/iwzombies/run/z0nje69m,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,PlayStation 4,14m 14.570s,https://youtu.be/76c03LYTqp0?si=-e9h8FTuhf30FP8r,,solo,2022-02-07,1,TheOnlyZae,,,,http://www.speedrun.com/iwzombies/run/mr2eedgy,verified
