game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=9qjx2e3l; 2lg396np=4lxz9212; ylp4gjlg=xqk968n1,PC,2m 19.023s,https://www.youtube.com/watch?v=-g45lBCrDV4&feature=youtu.be,,co-op,2020-05-25,3,BlazeBlizzard,Egghead1019,yokkita,,http://www.speedrun.com/bo3zombies/run/y90381vy,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=p12x944l; 2lg396np=4lxz9212; jlzz6xl2=gq79pjvl,PC,2m 2.680s,https://youtu.be/XJkpDkBn5YA,,co-op,2020-05-25,3,yokkita,Egghead1019,BlazeBlizzard,,http://www.speedrun.com/bo3zombies/run/z15xnewy,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=4lxz9212; 6njz75l4=5lm8wnjq,PC,2m 33.410s,https://youtu.be/2ZwQxItNmwM,,co-op,2020-05-25,3,yokkita,Egghead1019,BlazeBlizzard,,http://www.speedrun.com/bo3zombies/run/y659g5qz,verified
