game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=21d36o5q; 2lg396np=5leo55qo; 789ye5nw=p12o4z7l,PC,2m 30.890s,https://youtu.be/Tw0Hsg-hRhk,,solo,2025-05-28,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/z16owrgm,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=5leo55qo; ylp4kjlg=z195dr0q,PC,2m 37.790s,https://youtu.be/iCSUza3gSzg,,solo,2025-05-28,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/zqp4xqrm,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=5leo55qo; 2lg7k6lp=81p46ng1,PC,2m 40.030s,https://www.youtube.com/watch?v=G7Zr_5Fv4K4,,solo,2023-01-28,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/mro6p78m,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=4qy5jo31,PC,12m 3.020s,https://youtu.be/GCB-6Zopfas,,solo,2023-01-27,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/zpg2ognz,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=5leo55qo; ql659jn9=5lm8g6yq,PC,12m 24.210s,https://youtu.be/nXEKgsH99d8,,solo,2023-01-26,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/yolrnl7y,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=5leo55qo; 38dw04n0=4qy5jo31,PC,12m 52.500s,https://youtu.be/51dYza4sB6E,,solo,2023-01-22,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/y963gwny,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=5leo55qo; jlzz6xl2=zqomrog1,PC,11m 56.230s,https://youtu.be/_35nFmeAd0c,,solo,2023-01-21,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/yv8ovx4m,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=5leo55qo; ql659jn9=5lm8g6yq,PC,12m 35.200s,https://www.youtube.com/watch?v=f49MxOBa-nc&ab_channel=Alaric,,solo,2023-01-15,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/z1qr917y,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=5lm8g6yq,PC,12m 44.250s,https://www.youtube.com/watch?v=a9JcbMcIZd8&ab_channel=Alaric,,solo,2023-01-15,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/yol7040y,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=21d3635q; 2lg396np=5leo55qo; p85pd5lg=zqom2np1,PC,2m 15.420s,https://www.youtube.com/watch?v=TtFpAKo1NBc&ab_channel=Alaric,,solo,2022-12-30,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/y2j5ow7z,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=5leo55qo; ylp4kjlg=z195dr0q,PC,2m 45.794s,https://youtu.be/I4bUaeFeke8,,solo,2022-12-29,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/y802nr1m,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=0q5x78m1,PC,2m 13.520s,https://www.youtube.com/watch?v=is_tMdRbHzs&ab_channel=Alaric,,solo,2022-12-28,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/zg2w8p0y,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=zqomrog1,PC,12m 50.530s,https://www.youtube.com/watch?v=iLj6AE1XQDw&ab_channel=Alaric,,solo,2022-12-26,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/z1q58qgy,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,PC,2m 22.580s,https://www.youtube.com/watch?v=YuJe9pIbw3M&ab_channel=Alaric,,solo,2022-12-26,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/znjkov8m,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,PC,2m 35.520s,https://www.youtube.com/watch?v=7ceNdAKCB9A&ab_channel=Alaric,,solo,2022-12-25,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/z5ej73ez,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=5leo55qo; 38dw04n0=81wer8o1,PC,2m 33.530s,https://www.youtube.com/watch?v=e9Q8nROy3GM&ab_channel=Alaric,,solo,2022-12-23,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/znjrl99m,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,PC,2m 39.850s,https://www.youtube.com/watch?v=Ie301uVRlw8&ab_channel=Alaric,,solo,2022-12-17,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/zg2k39jy,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=5leo55qo; ylp4gjlg=xqk968n1,PC,2m 33.867s,https://youtu.be/QxMpEGVsLHE,,solo,2021-01-20,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/zqg3g48m,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=5leo55qo; 38dw04n0=81wer8o1,PC,2m 38.460s,https://youtu.be/lmeV4AdCYXw,,solo,2021-01-20,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/y8v9vkdz,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=814kpgjl,PC,2m 33.500s,https://youtu.be/tLgqwUrzqR0,,solo,2021-01-20,1,AlaricMoon,,,,http://www.speedrun.com/bo3zombies/run/yd93r3qz,verified
