game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 5ly102l4=81wm425q,Xbox 360,1m 21.740s,https://www.youtube.com/watch?v=oXl_19sMKY0&feature=youtu.be,,co-op,2018-04-10,2,Chirpiest,DemonWithAHood,,,http://www.speedrun.com/bo2zombies/run/yjkv217m,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 68kozzn2=jq645o71,Xbox 360,2m 1.800s,https://youtu.be/lG62tgzkTZM,,co-op,2018-04-10,2,Chirpiest,DemonWithAHood,,,http://www.speedrun.com/bo2zombies/run/z5o4prdy,verified
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 6njyzen4=0q5ovwn1,Xbox 360,1m 49.690s,https://youtu.be/VFs_lgdFLqU,,co-op,2018-04-09,2,Chirpiest,DemonWithAHood,,,http://www.speedrun.com/bo2zombies/run/y674x16m,verified
