game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Forsaken,2lgr6kon=rqvo0d7l; yn2wg5gn=z19v3zjl; 6nj5r4vl=21dnw23l,PlayStation 5,20m 3.070s,https://www.youtube.com/watch?v=CpD6AJpiyBc,,co-op,2021-10-19,2,datkent1991,jameschance,,,http://www.speedrun.com/bocwz/run/m37jpdgz,verified
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=rqvo0d7l; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,PlayStation 5,35m 33.000s,https://www.youtube.com/watch?v=ABgTZy-ShTM,,co-op,2021-08-05,2,datkent1991,jameschance,,,http://www.speedrun.com/bocwz/run/y27qk57z,verified
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=rqvo0d7l; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,PlayStation 5,36m 3.000s,https://www.youtube.com/watch?v=WBQdrBAdIdg,,co-op,2021-07-29,2,datkent1991,jameschance,,,http://www.speedrun.com/bocwz/run/ylr9kv3y,verified
