game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1pydo5v1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; wlegod2n=qkemdj9q,Xbox One X,26m 43.000s,https://youtu.be/DfrOm0j5t7k?si=YkyshDLhX_VF-oyr,,solo,2025-01-07,1,RVB_,,,,http://www.speedrun.com/BO6Zombies/run/z1v8k87z,rejected
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1pydo5v1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; wlegod2n=qkemdj9q,Xbox One X,27m 45.000s,https://youtu.be/KJGPcPUBJGU?si=5DlFgSLHDinH9p5J,,solo,2025-01-06,1,RVB_,,,,http://www.speedrun.com/BO6Zombies/run/zpk38x8y,rejected
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 68k1vezl=qoxrpdgq,Xbox One X,25m 21.000s,https://youtu.be/wHA4uKQUX0s?si=R8YExWrMOBXAtCx0,,solo,2024-12-14,1,RVB_,,,,http://www.speedrun.com/BO6Zombies/run/m7ep6jwz,rejected
