game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,PC,18m 59.710s,https://youtu.be/RBDlCPu4j24,,co-op,2023-07-30,2,deadpoolboyz85,Peekfam,,,http://www.speedrun.com/iwzombies/run/yl6pqory,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; 789kjr0l=jqz66kk1,PC,11m 56.000s,https://youtu.be/NxOjSxX9J94,,co-op,2023-07-23,2,deadpoolboyz85,Peekfam,,,http://www.speedrun.com/iwzombies/run/znv2609m,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; onvyp7nm=0139rzx1,PC,17m 44.710s,https://youtu.be/yC3nRxaXwSQ,,co-op,2023-07-23,2,deadpoolboyz85,Peekfam,,,http://www.speedrun.com/iwzombies/run/y62vw9qz,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=jqz66kk1,PC,11m 53.000s,https://youtu.be/FgIMCPdefCQ,,solo,2023-07-20,1,deadpoolboyz85,,,,http://www.speedrun.com/iwzombies/run/mrlv807m,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,PC,20m 41.920s,https://youtu.be/o0aJzFo3Rb4,,co-op,2023-07-16,2,deadpoolboyz85,Peekfam,,,http://www.speedrun.com/iwzombies/run/ydj29wvy,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,PC,19m 59.750s,https://youtu.be/FqQU9Wpbvr8,,co-op,2023-07-16,2,deadpoolboyz85,Peekfam,,,http://www.speedrun.com/iwzombies/run/yl6dwvxy,verified
