game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=5lmg2wml; 2lg396np=5leo55qo; ylp4gjlg=xqk968n1,PlayStation 4,3m 2.717s,https://youtu.be/h_bDdgLlrIo,,solo,2021-01-06,1,KronosG,,,,http://www.speedrun.com/bo3zombies/run/m3gpx84z,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=81wer8o1,PlayStation 4,2m 47.800s,https://www.youtube.com/watch?v=M3UBy2xHLDQ,,solo,2021-01-05,1,KronosG,,,,http://www.speedrun.com/bo3zombies/run/zq4lv85m,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=5leo55qo; 38dw04n0=81wer8o1,PlayStation 4,3m 12.000s,https://youtu.be/2UkCsCe89xE,,solo,2021-01-05,1,KronosG,,,,http://www.speedrun.com/bo3zombies/run/zplj8vxm,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=5leo55qo; 38dw04n0=81wer8o1,PlayStation 4,3m 12.000s,https://youtu.be/b7g4Hq43-5g,,solo,2021-01-05,1,KronosG,,,,http://www.speedrun.com/bo3zombies/run/z1oexe7m,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PlayStation 4,3m 10.930s,https://youtu.be/yIowjPsDaZw,,solo,2021-01-05,1,KronosG,,,,http://www.speedrun.com/bo3zombies/run/yo3wr45y,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,PlayStation 4,3m 20.430s,https://youtu.be/BvNBzxO96T0,,solo,2021-01-05,1,KronosG,,,,http://www.speedrun.com/bo3zombies/run/y8r7jdwm,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=5leo55qo; 38dw04n0=81wer8o1,PlayStation 4,3m 5.270s,https://youtu.be/q-yRNTXxmNk,,solo,2021-01-05,1,KronosG,,,,http://www.speedrun.com/bo3zombies/run/yv9dqoez,verified
Call of Duty: Black Ops IIII Zombies,,Ancient Evil,wl339yyl=013m8dyl; 5lyjm0yl=0132y83q; wlex9v28=0q55n6vq,PlayStation 4,2m 14.367s,https://youtu.be/Ix0N1DcJrjE,,solo,2021-01-10,1,KronosG,,,,http://www.speedrun.com/bo4zombies/run/z5398vjy,verified
Call of Duty: Black Ops IIII Zombies,,Ancient Evil,wl339yyl=013m8dyl; 5lyjm0yl=0132y83q; wlex9v28=4lx8pzg1,PlayStation 4,13m 0.000s,https://youtu.be/sdQ0fF8b5bc,,solo,2021-01-10,1,KronosG,,,,http://www.speedrun.com/bo4zombies/run/yv9wl0xz,verified
Call of Duty: Black Ops IIII Zombies,,Ancient Evil,wl339yyl=013m8dyl; 5lyjm0yl=0132y83q; wlex9v28=5le4ro61,PlayStation 4,7m 10.000s,https://youtu.be/xPm93ef699M,,solo,2021-01-10,1,KronosG,,,,http://www.speedrun.com/bo4zombies/run/y8r5w6wm,verified
