game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PC,3m 18.020s,https://youtu.be/J1zvgGaGcmQ,,co-op,2020-09-19,3,Fouji,Namo,Kaden,,http://www.speedrun.com/bo2zombies/run/m75pg9wz,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; 2lg32qnp=p12o4vdl,PC,3m 13.350s,https://youtu.be/x03jaYGEoDI,,co-op,2020-09-19,3,Fouji,Namo,Kaden,,http://www.speedrun.com/bo2zombies/run/zq43w68m,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PC,2m 50.060s,https://www.youtube.com/watch?v=VqSufN6Xa5Y&ab_channel=DyIan,,co-op,2020-09-18,2,Fouji,Namo,,,http://www.speedrun.com/bo2zombies/run/me68vk9z,verified
