game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=4lxz9212; 38dw04n0=jqz2ogqp,PC,40m 49.370s,https://youtu.be/7Io5ZkI0ZOA,,co-op,2023-07-11,3,verynocap,SeeDaHammah,EpicEmperor,,http://www.speedrun.com/bo3zombies/run/yonn6rdz,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,Xbox One,3m 2.083s,https://youtu.be/XipTjH0ENP8,,solo,2021-01-03,1,verynocap,,,,http://www.speedrun.com/bo3zombies/run/zq4o5vrm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,Xbox One,3m 16.000s,https://youtu.be/ycib4eOu0aM,,solo,2021-01-02,1,verynocap,,,,http://www.speedrun.com/bo3zombies/run/y91q6evm,verified
