game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,2m 5.517s,https://www.youtube.com/watch?v=qWugnkYiK7M&feature=youtu.be&ab_channel=CloudRyze,,solo,2020-12-02,1,CloudRyze,,,,http://www.speedrun.com/bocwz/run/zq4den8m,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=0q5zd5nq; gnxj7pgl=810y752l,PC,6m 42.420s,https://www.youtube.com/watch?v=i8_sPcvPEO8&feature=youtu.be&ab_channel=CloudRyze,,solo,2020-12-02,1,CloudRyze,,,,http://www.speedrun.com/bocwz/run/y2dkjowz,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=5lmg2wml; 2lg396np=4lxz9212; ylp4gjlg=xqk968n1,PC,2m 18.667s,https://www.youtube.com/watch?v=3z8uJX0ks0g&ab_channel=CloudRyze,,co-op,2021-08-09,3,Niax,CloudRyze,SirLost,,http://www.speedrun.com/bo3zombies/run/y4712l3y,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=4lxz9212; 6njz75l4=5lm8wnjq,PC,2m 27.650s,https://www.youtube.com/watch?v=3K-D6D-fIcs&ab_channel=CloudRyze,,co-op,2021-08-09,3,Niax,CloudRyze,SirLost,,http://www.speedrun.com/bo3zombies/run/yj5319dm,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=5q8d4r3l; 2lg396np=4lxz9212; 789ye5nw=p12o4z7l,PC,2m 40.650s,https://www.youtube.com/watch?v=4lrVLwnG2Wg&ab_channel=CloudRyze,,co-op,2021-08-09,3,Niax,CloudRyze,SirLost,,http://www.speedrun.com/bo3zombies/run/y69l6g6y,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=z198xd8q; 2lg396np=4lxz9212; onvmywnm=4lx0d42l,PC,2m 1.600s,https://www.youtube.com/watch?v=OKEDpHH1u40&ab_channel=CloudRyze,,co-op,2021-08-09,3,Niax,CloudRyze,SirLost,,http://www.speedrun.com/bo3zombies/run/yvo3258z,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=4lxz9212; ql659jn9=0q5x78m1,PC,2m 12.930s,https://www.youtube.com/watch?v=CbsAnyDl3bA&ab_channel=CloudRyze,,co-op,2021-08-09,3,Niax,CloudRyze,SirLost,,http://www.speedrun.com/bo3zombies/run/yo6j955y,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=4lxz9212; jlzz6xl2=814k4d0l,PC,2m 25.550s,https://www.youtube.com/watch?v=8IZ2XBWUgBM&ab_channel=CloudRyze,,co-op,2021-08-08,3,Niax,CloudRyze,SirLost,,http://www.speedrun.com/bo3zombies/run/me48rq8y,verified
