game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PlayStation 5,18m 5.000s,https://www.youtube.com/watch?v=ayzFQjey2M8,,solo,2025-07-16,1,drScreechOwl,,,,http://www.speedrun.com/BO6Zombies/run/zg683xdm,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PlayStation 5,19m 26.000s,https://www.youtube.com/watch?v=J7-PXoQknVE,,solo,2025-05-26,1,drScreechOwl,,,,http://www.speedrun.com/BO6Zombies/run/zng3x59m,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PlayStation 5,21m 8.000s,https://www.youtube.com/watch?v=biF6LpzF2V8,,solo,2025-04-21,1,drScreechOwl,,,,http://www.speedrun.com/BO6Zombies/run/mrdk0q7z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PlayStation 5,21m 51.000s,https://www.youtube.com/watch?v=rtDr70gx5n4,,solo,2025-03-22,1,drScreechOwl,,,,http://www.speedrun.com/BO6Zombies/run/mkorkpxz,verified
