game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 7 Zombies,,Exit 115 ,68kw0kk8=q8k88wyq; 68kw99z8=192mr54q; rn1k33vl=1gn8geol; j84p44y8=1pypn4n1; 5lydjzgl=139dejr1,Xbox Series X,2m 51.073s,https://youtu.be/eAX04j3nfjU,,solo,2025-12-28,1,Mrmilleniumeyes,,,,http://www.speedrun.com/Bo7Zombies/run/ydo2nvwz,verified
Call of Duty: Black Ops 7 Zombies,,Vandorn Farm,68kw0kk8=q8k88wyq; r8r6m958=qvvo97yq; j84p91j8=12vmr3vq; 5lyyg52l=q5vzppvl; e8mxyewl=qvvgw0rq,Xbox Series X,2m 54.049s,https://youtu.be/vb7iy1nBHeU,,solo,2025-12-28,1,Mrmilleniumeyes,,,,http://www.speedrun.com/Bo7Zombies/run/yw5ngk2y,verified
Call of Duty: Black Ops 7 Zombies,,Exit 115 ,68kw0kk8=q8k88wyq; 68kw99z8=192mr54q; rn1k33vl=1gn8geol; j84p44y8=1pypn4n1; 5lydjzgl=139dejr1,Xbox Series X,2m 58.051s,https://youtu.be/8kqiCt6Sg6Y,,solo,2025-12-28,1,Mrmilleniumeyes,,,,http://www.speedrun.com/Bo7Zombies/run/y9wkj32z,verified
