game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=4lxz9212; wlewprl6=xqkd5nl9,PC,57m 53.970s,https://www.youtube.com/watch?v=bIfoPfOUWL8&feature=youtu.be,,co-op,2020-12-09,3,1Rebound1,Wadoodly,SpazMatik,,http://www.speedrun.com/bo3zombies/run/yo3xvj1y,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=p12x9x4l; 2lg396np=0q56pm1p; 6njz75l4=jqzdkmlp,PC,6m 38.340s,https://youtu.be/JnlN9Y5_Znc,,co-op,2020-12-06,2,1Rebound1,Wadoodly,,,http://www.speedrun.com/bo3zombies/run/y6rv0jjy,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=4lxz9212; 38dw04n0=jqz2ogqp,PC,1h 8m 21.062s,https://youtu.be/nnpU2ZcrTHQ,,co-op,2020-12-06,3,1Rebound1,Wadoodly,SpazMatik,,http://www.speedrun.com/bo3zombies/run/y8rw0nnm,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=p12x9x4l; 2lg396np=0q56pm1p; 6njz75l4=jqzdkmlp,PC,5m 28.066s,https://www.youtube.com/watch?v=sXqMfEkVFZU,,co-op,2020-12-04,2,1Rebound1,Wadoodly,,,http://www.speedrun.com/bo3zombies/run/y6rq1lqy,rejected
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=0q56pm1p; 6njz75l4=jqzdkmlp,PC,5m 28.066s,https://www.youtube.com/watch?v=sXqMfEkVFZU,,co-op,2020-12-04,2,1Rebound1,Wadoodly,,,http://www.speedrun.com/bo3zombies/run/zpl6qdrm,rejected
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=0q56pm1p; 6njz75l4=jqzdkmlp,PC,5m 28.660s,https://www.youtube.com/watch?v=sXqMfEkVFZU,,co-op,2020-12-04,2,1Rebound1,Wadoodly,,,http://www.speedrun.com/bo3zombies/run/yd0nq10z,verified
