game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=rqvo0d7l; 0nw715r8=mlnp4rd1; dlo750j8=5lmenxmq,PlayStation 5,5m 42.000s,https://youtu.be/w2I8q0Ty7Qc?si=It9fa2KWakecR4sK,,co-op,2024-04-18,2,Yoboiiidon,Theashysage,,,http://www.speedrun.com/bocwz/run/zxq7ed5m,rejected
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0137jrdl; 0nw715r8=mlnp4rd1; dlo750j8=5lmenxmq,PlayStation 5,6m 2.000s,https://youtu.be/GHX69ym6O5g?si=XFmM0ASoQ88DHvNn,,solo,2024-04-16,1,Yoboiiidon,,,,http://www.speedrun.com/bocwz/run/zn2px09z,rejected
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0137jrdl; 0nw715r8=mlnp4rd1; dlo750j8=5lmenxmq,PlayStation 5,5m 59.000s,https://youtu.be/GHX69ym6O5g?si=XFmM0ASoQ88DHvNn,,solo,2024-04-16,1,Yoboiiidon,,,,http://www.speedrun.com/bocwz/run/yvlrxoxz,verified
