game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; onvyp7nm=mlnd9v61,PC,2m 55.000s,https://youtu.be/thLVEKoHWYE,,co-op,2023-02-15,2,disasterqt,LibelousTube,,,http://www.speedrun.com/iwzombies/run/y4ggpw3y,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; onvyp7nm=rqvvdj6q,PC,9m 24.133s,https://youtu.be/Tq2Dr8UcX3k,,co-op,2022-01-28,2,disasterqt,LibelousTube,,,http://www.speedrun.com/iwzombies/run/zgd2vejz,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; onvyp7nm=rqvvdj6q,PC,7m 59.560s,https://youtu.be/bqqy3OBBEao,,co-op,2022-01-28,2,disasterqt,LibelousTube,,,http://www.speedrun.com/iwzombies/run/meje912y,verified
