game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q65x52ol; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,1m 31.970s,https://www.twitch.tv/directory/category/call-of-duty-black-ops-6),https://www.twitch.tv/videos/2293479114,solo,2024-11-04,1,ItzOnlyExo,,,,http://www.speedrun.com/BO6Zombies/run/m3j8wvdz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=1gn2npxl; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,1m 54.000s,https://www.twitch.tv/videos/2293483287,,solo,2024-11-04,1,ItzOnlyExo,,,,http://www.speedrun.com/BO6Zombies/run/ywxooenm,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=1gn2npxl; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PlayStation 4 Pro,7m 22.320s,https://www.twitch.tv/videos/2291936307,,solo,2024-11-02,1,ItzOnlyExo,,,,http://www.speedrun.com/BO6Zombies/run/z5gnxrnm,verified
