game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=lmo4od01; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,7m 11.100s,https://youtu.be/jYLxmXO03Q8,,solo,2025-02-17,1,ChurchGoer88,,,,http://www.speedrun.com/BO6Zombies/run/ywwg4rny,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=lmo4od01; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,7m 13.990s,https://youtu.be/jUxRYjb57QA,,solo,2025-02-16,1,ChurchGoer88,,,,http://www.speedrun.com/BO6Zombies/run/m7e0w5wz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,22m 35.300s,https://youtu.be/LXhZU_8NnKs,,solo,2025-01-30,1,ChurchGoer88,,,,http://www.speedrun.com/BO6Zombies/run/z168jv9m,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,25m 31.000s,https://youtu.be/po-T9w58AU0,,solo,2025-01-29,1,ChurchGoer88,,,,http://www.speedrun.com/BO6Zombies/run/z5l2r2gy,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=qznxn34q; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,4m 58.060s,https://youtu.be/4zJHT4MHh1Q,,solo,2025-01-08,1,ChurchGoer88,,,,http://www.speedrun.com/BO6Zombies/run/y4j205ny,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1pydyvv1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,7m 28.100s,https://youtu.be/l9Yf-insIBg,,solo,2025-01-03,1,ChurchGoer88,,,,http://www.speedrun.com/BO6Zombies/run/men969qm,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1pydyvv1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,7m 29.270s,https://youtu.be/lEw0f72HKt4,,solo,2025-01-02,1,ChurchGoer88,,,,http://www.speedrun.com/BO6Zombies/run/y8orwkwm,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1pydyvv1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,Xbox Series X,7m 35.280s,https://youtu.be/p3Yat7iPT8U,,solo,2024-12-18,1,ChurchGoer88,,,,http://www.speedrun.com/BO6Zombies/run/m7eqp00z,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=qznxn34q; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,Xbox Series X,5m 31.590s,https://www.youtube.com/watch?v=R9RMSzJZh70,,solo,2024-12-18,1,ChurchGoer88,,,,http://www.speedrun.com/BO6Zombies/run/menx818m,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=qznxn34q; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,Xbox Series X,6m 39.230s,https://youtu.be/_muSNi8olfs,,solo,2024-12-16,1,ChurchGoer88,,,,http://www.speedrun.com/BO6Zombies/run/yvnj5n8m,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1pydyvv1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,Xbox Series X,7m 49.950s,https://youtu.be/cYmXfDIq-qc,,solo,2024-12-14,1,ChurchGoer88,,,,http://www.speedrun.com/BO6Zombies/run/y2nqjx5y,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1pydyvv1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,Xbox Series X,11m 24.110s,https://youtu.be/Mi1lfeQTWtM,,solo,2024-12-09,1,ChurchGoer88,,,,http://www.speedrun.com/BO6Zombies/run/y2n363jy,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=12vxvrdq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,Xbox Series X,1m 27.420s,https://youtu.be/QUR0J-iyRdk,,solo,2024-12-09,1,ChurchGoer88,,,,http://www.speedrun.com/BO6Zombies/run/y9p7w9vm,verified
