game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=mln3grdq; 5lyjm0yl=0132y83q; kn0zwr38=jq678371,PC,6m 22.050s,https://youtu.be/tW3SRQ07OMQ,,solo,2023-10-16,1,QuBiieE,,,,http://www.speedrun.com/bo4zombies/run/zg8xdnjy,rejected
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=zqon2w4l; 5lyjm0yl=0132y83q; 0nw2z6xn=xqk86k9q,PC,2m 26.860s,https://youtu.be/r4X66umlWPI,,solo,2023-10-15,1,QuBiieE,,,,http://www.speedrun.com/bo4zombies/run/y8kv21wy,rejected
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=zqon2w4l; 5lyjm0yl=0132y83q; 0nw2z6xn=xqk86k9q,PC,2m 29.840s,https://youtu.be/d8-A8ZXs0bQ,,solo,2023-04-19,1,QuBiieE,,,,http://www.speedrun.com/bo4zombies/run/z0nvpoom,rejected
