game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PC,3m 0.000s,https://youtu.be/krKP-RbO0_4,,solo,2022-02-08,1,Jirkaaa,,,,http://www.speedrun.com/bo3zombies/run/y48kqo3m,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,PC,3m 13.990s,https://www.youtube.com/watch?v=7hIOztdw6QY&ab_channel=Jirka,,solo,2022-02-07,1,Jirkaaa,,,,http://www.speedrun.com/bo3zombies/run/m36krj6m,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=0q54r9rl,PC,5m 28.880s,https://www.twitch.tv/videos/1289180718,,solo,2022-02-06,1,Jirkaaa,,,,http://www.speedrun.com/bo3zombies/run/zn7e487m,verified
