game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=0135x4xq; 2lg396np=5leo55qo; 2lg7e6lp=810624w1,PlayStation 4,48m 40.000s,https://www.youtube.com/watch?v=KADA3A62BbQ,,solo,2017-06-14,1,KingVirus92x,,,,http://www.speedrun.com/bo3zombies/run/zgnk9w0y,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=5leo55qo; jlzz6xl2=0q54r9rl,PlayStation 4,7m 28.000s,https://www.youtube.com/watch?v=4H4dhQ3ffZ8,,solo,2017-05-21,1,KingVirus92x,,,,http://www.speedrun.com/bo3zombies/run/zn84qe7z,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=0q54r9rl,PlayStation 4,6m 24.000s,https://www.youtube.com/watch?v=62RgtmRfnlI,,solo,2017-05-21,1,KingVirus92x,,,,http://www.speedrun.com/bo3zombies/run/zq639qry,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=21d554le,PlayStation 4,41m 58.000s,https://www.youtube.com/watch?v=l4UlEVK8Jws,,solo,2016-01-21,1,KingVirus92x,,,,http://www.speedrun.com/bo3zombies/run/0y6n2o6z,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=jqzdk2lp,PlayStation 3,6m 43.000s,https://www.youtube.com/watch?v=sVlkrSAlANo,,solo,2016-01-04,1,KingVirus92x,,,,http://www.speedrun.com/bo3zombies/run/9mejk09y,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=jqzdkmlp,PlayStation 4,9m 37.029s,https://www.youtube.com/watch?v=VRh3kyM_hxY,,solo,2016-01-02,1,KingVirus92x,,,,http://www.speedrun.com/bo3zombies/run/7yle3o2z,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=0q56pm1p; 6njz75l4=jqzdk2lp,PlayStation 4,4m 44.081s,https://www.youtube.com/watch?v=H12AN_Y9Hv8,,co-op,2015-12-29,2,KingVirus92x,InputVirus92,,,http://www.speedrun.com/bo3zombies/run/oy276o7z,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=jqzdkmlp,PlayStation 4,6m 15.017s,https://www.youtube.com/watch?v=s5qRPKopuPE,,solo,2015-12-29,1,KingVirus92x,,,,http://www.speedrun.com/bo3zombies/run/nz1x0ewm,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=jqzdk2lp,PlayStation 4,9m 2.830s,https://www.youtube.com/watch?v=I6tF2ORId6g,,solo,2015-12-24,1,KingVirus92x,,,,http://www.speedrun.com/bo3zombies/run/pyde44xm,verified
