game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PlayStation 4,50m 3.000s,https://youtu.be/CbTNPQMiFCY?si=716c5-Vu7eBTWHM2,,solo,2024-01-19,1,gooeyscoo,,,,http://www.speedrun.com/bo3zombies/run/zpp5kpgz,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PlayStation 4,54m 40.000s,https://www.youtube.com/watch?v=eJxaioYGwgA,,solo,2021-09-24,1,gooeyscoo,,,,http://www.speedrun.com/bo3zombies/run/mrno05gy,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PlayStation 4,54m 53.000s,https://www.youtube.com/watch?v=eJxaioYGwgA,,solo,2021-09-24,1,gooeyscoo,,,,http://www.speedrun.com/bo3zombies/run/y27jn47z,rejected
