game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1pydo5v1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; wlegod2n=qkemdj9q,PC,28m 20.210s,https://youtu.be/fR66rzv6UmQ?si=NwnV2faRrsv3lq94,,solo,2024-12-13,1,Dakxel,,,,http://www.speedrun.com/BO6Zombies/run/yje41q3m,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,14m 44.160s,https://youtu.be/RRFolXWcbOY?si=5flFovF1jao2nPQj,,solo,2024-12-05,1,Dakxel,,,,http://www.speedrun.com/BO6Zombies/run/z08e5e9m,rejected
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 68k1vezl=1dk3yw5l,PC,24m 54.910s,https://youtu.be/04EtKcK0N2E?si=-BF-UlQv5SADgOD7,,solo,2024-12-05,1,Dakxel,,,,http://www.speedrun.com/BO6Zombies/run/m3wd5ddy,rejected
