game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; gnxjp4lv=81w9y9l4,PC,45m 22.000s,https://www.youtube.com/watch?v=WDgNJsgXhrE,,co-op,2022-03-01,2,TrillTrillTrill,KizaruJin,,,http://www.speedrun.com/bo2zombies/run/ydw4dwxm,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; p85revng=gq7p8nqp,PC,48m 40.450s,https://www.youtube.com/watch?v=8Dzh7DTOPfc,,co-op,2022-02-15,2,TrillTrillTrill,KizaruJin,,,http://www.speedrun.com/bo2zombies/run/m36026wm,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; p85revng=21g9nxxq,PC,18m 30.120s,https://www.youtube.com/watch?v=8Dzh7DTOPfc,,co-op,2022-02-15,2,TrillTrillTrill,KizaruJin,,,http://www.speedrun.com/bo2zombies/run/y48608nm,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 68kozzn2=z19knjq4,PC,36m 14.880s,https://www.twitch.tv/videos/1294529477,,co-op,2022-02-11,2,TrillTrillTrill,KizaruJin,,,http://www.speedrun.com/bo2zombies/run/yjxw093z,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 68kozzn2=gq7257n1,PC,15m 41.790s,https://www.twitch.tv/videos/1294529477,,co-op,2022-02-11,2,TrillTrillTrill,KizaruJin,,,http://www.speedrun.com/bo2zombies/run/y9lkrdvy,verified
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 6njyzen4=5lm9mj1v,PC,56m 56.720s,https://www.twitch.tv/videos/1291710258,,co-op,2022-02-09,2,TrillTrillTrill,KizaruJin,,,http://www.speedrun.com/bo2zombies/run/yvqvle8m,verified
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 6njyzen4=mlne856l,PC,19m 9.270s,https://www.twitch.tv/videos/1291710258,,co-op,2022-02-09,2,TrillTrillTrill,KizaruJin,,,http://www.speedrun.com/bo2zombies/run/zgd8l1jz,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PC,2m 48.020s,https://www.youtube.com/watch?v=86lhEUNC5zo,,co-op,2022-01-15,2,TrillTrillTrill,KizaruJin,,,http://www.speedrun.com/bo2zombies/run/z5vvd6jm,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 68kozzn2=81p29el7,PC,1h 32m 28.110s,https://www.youtube.com/watch?v=Nk7sWnEft4E,,solo,2022-01-10,1,TrillTrillTrill,,,,http://www.speedrun.com/bo2zombies/run/y9l3npry,verified
