game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 5ly102l4=21geonml,PC,3m 54.070s,https://www.youtube.com/watch?v=D3BDoISmhts,,solo,2024-05-12,1,coondax,,,,http://www.speedrun.com/bo2zombies/run/mkpqjq3y,rejected
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PC,2m 57.000s,https://youtu.be/UxWR_6cking?si=VAKszYeOI28-FHgj,,solo,2024-05-12,1,coondax,,,,http://www.speedrun.com/bo2zombies/run/ydnlwxqm,rejected
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PC,2m 57.077s,https://www.youtube.com/watch?v=UxWR_6cking,,solo,2024-05-11,1,coondax,,,,http://www.speedrun.com/bo2zombies/run/yvlvk6oz,rejected
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PC,3m 8.070s,https://www.youtube.com/watch?v=xAZZ_E1tLFA,,solo,2024-05-11,1,coondax,,,,http://www.speedrun.com/bo2zombies/run/z19k0lrm,rejected
