game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=klrj632q,PC,3m 3.100s,https://youtu.be/W7ZgZUvvZVk,,solo,2019-02-02,1,sNTx,,,,http://www.speedrun.com/bo2zombies/run/yl4xwokm,verified
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 5ly102l4=21geonml,PC,2m 44.430s,https://youtu.be/syERuWgt-kY,,solo,2019-02-02,1,sNTx,,,,http://www.speedrun.com/bo2zombies/run/mk91n7vz,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=klrj63oq,PC,3m 13.020s,https://youtu.be/bA7NCqNgrJA,,solo,2019-02-02,1,sNTx,,,,http://www.speedrun.com/bo2zombies/run/y6pe461m,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 2lg32qnp=p12o4vdl,PC,3m 2.810s,https://youtu.be/UzQp91bZf9k,,solo,2019-02-02,1,sNTx,,,,http://www.speedrun.com/bo2zombies/run/zn4xl13m,verified
