game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=5lez085l; 0nw715r8=xqk2g6yq; dlo750j8=jq6w74jl,PlayStation 4,43m 49.000s,https://www.twitch.tv/videos/917708826,,co-op,2021-02-17,3,Mhkl,Alba,Jish_05,,http://www.speedrun.com/bocwz/run/y42q8j2m,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=5lez085l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PlayStation 4,40m 4.000s,https://www.twitch.tv/videos/908630425,,co-op,2021-02-10,3,Mhkl,Alba,Jish_05,,http://www.speedrun.com/bocwz/run/y9n3x3vz,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0q5zm8mq; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PlayStation 4,38m 10.039s,https://www.twitch.tv/videos/899739411,,co-op,2021-02-03,4,Jish_05,IFartedOnObama,Griffy:),Lehmon,http://www.speedrun.com/bocwz/run/yv22ljxm,rejected
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0q5zm8mq; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PlayStation 4,38m 5.776s,https://www.twitch.tv/videos/901723678,,co-op,2021-02-03,4,Jish_05,Lehmon,Griffy:),IFartedOnObama,http://www.speedrun.com/bocwz/run/m3nr92qy,verified
