game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=4lxz9212; 6njz75l4=5lm8wnjq,Xbox One,2m 35.012s,https://youtu.be/NQRs5trkvLY,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/zgwkgojy,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=p12x9x4l; 2lg396np=4lxz9212; 6njz75l4=5lm8wnjq,Xbox One,2m 35.013s,https://youtu.be/NQRs5trkvLY,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/meox7g2z,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=4lxz9212; 6njz75l4=5lm8wnjq,Xbox One,2m 35.013s,https://youtu.be/NQRs5trkvLY,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/yokj7x5z,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=0135x4xq; 2lg396np=4lxz9212; 2lg7e6lp=5le3v85q,Xbox One,3m 45.021s,https://youtu.be/ALi3u7gz71c,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/yokj7e5z,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=81w57rv1; 2lg396np=4lxz9212; 2lg7e6lp=5le3v85q,Xbox One,3m 45.021s,https://youtu.be/ALi3u7gz71c,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/zpr41ovm,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=zqorj2xq; 2lg396np=4lxz9212; 2lg7e6lp=5le3v85q,Xbox One,3m 45.021s,https://youtu.be/ALi3u7gz71c,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/yd56r4xm,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=4lxz9212; ql659jn9=0q5x78m1,Xbox One,2m 56.016s,https://youtu.be/Yd3lDfVjqRc,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/yw84q5ny,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=rqvexz61; 2lg396np=4lxz9212; ql659jn9=0q5x78m1,Xbox One,2m 56.016s,https://youtu.be/Yd3lDfVjqRc,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/yjl3g7oz,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=4lxz9212; ql659jn9=0q5x78m1,Xbox One,2m 56.016s,https://youtu.be/Yd3lDfVjqRc,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/ylk0q5xz,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=z198xd8q; 2lg396np=4lxz9212; onvmywnm=4lx0d42l,Xbox One,3m 17.018s,https://youtu.be/dL8yhyfWdok,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/zqwr1n1z,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=4lxegd41; 2lg396np=4lxz9212; onvmywnm=4lx0d42l,Xbox One,3m 17.018s,https://youtu.be/dL8yhyfWdok,,co-op,2020-04-18,3,RIPP3R,Tanksniper10,Chrissy3Piece,,http://www.speedrun.com/bo3zombies/run/y251x67y,verified
