game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PlayStation 4,22m 25.000s,https://www.twitch.tv/videos/2313381506,,co-op,2024-11-30,2,IamNotDarko,Airito,,,http://www.speedrun.com/BO6Zombies/run/yoqvlx1z,rejected
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; 68k1vezl=q75rg8y1,PC,36m 25.000s,https://www.twitch.tv/videos/2313417659,,co-op,2024-11-28,2,IamNotDarko,Airito,,,http://www.speedrun.com/BO6Zombies/run/yoqv7ejz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,22m 17.240s,https://www.twitch.tv/videos/2313381506,,co-op,2024-11-28,2,IamNotDarko,Airito,,,http://www.speedrun.com/BO6Zombies/run/y6g3dqqm,verified
