game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=0132y83q; 0nw2z6xn=xqk86k9q,PlayStation 4,3m 38.000s,https://youtu.be/AZsUPcCyAzE,,solo,2020-04-15,1,Ezpeasy,,,,http://www.speedrun.com/bo4zombies/run/meo8qq9z,rejected
Call of Duty: Black Ops IIII Zombies,,Blood of the Dead,0nw2zqkn=rqvdzwyq; 5lyjm0yl=0132y83q; 789k790l=21ggoro1,PlayStation 4,4m 17.000s,https://youtu.be/9A0CeNTADGo,,solo,2020-04-15,1,Ezpeasy,,,,http://www.speedrun.com/bo4zombies/run/z151eegy,rejected
Call of Duty: Black Ops IIII Zombies,,Classified,789k7y6l=4lx4dogq; 5lyjm0yl=0132y83q; onv6omr8=mln3k6nq,PlayStation 4,4m 59.000s,https://youtu.be/hJqDkM1sSKw,,solo,2020-04-15,1,Ezpeasy,,,,http://www.speedrun.com/bo4zombies/run/z5j1q9gm,rejected
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=zqon2w4l; 5lyjm0yl=0132y83q; 0nw2z6xn=xqk86k9q,PlayStation 4,3m 38.000s,https://youtu.be/AZsUPcCyAzE,,solo,2020-04-15,1,Ezpeasy,,,,http://www.speedrun.com/bo4zombies/run/yw84e03y,rejected
