game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; ylpy4ejl=1928ypyq,PlayStation 5,16m 8.770s,https://youtu.be/_eVi0rBYU5c?si=A7wmaFVRUmNtqAj8,https://youtu.be/-eyxW6LwGwk?si=wLvk-b-MkBQZv86H; https://youtu.be/Iq35mtUJMr8?si=DFCpXPK7wpbttLS7,co-op,2024-12-09,3,ClapDxmCheeks,GameTateO,Ghost_003,,http://www.speedrun.com/BO6Zombies/run/y9p7q72m,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; ylpy4ejl=1928ypyq,PlayStation 5,17m 28.390s,https://youtu.be/aaYSnlDXqLQ?si=Swb8EVZ3tM8r6gc1,https://youtu.be/u4amtzsB3S8?si=C-j08FDd8204stbm; https://youtu.be/QqourjVTfb0?si=9Q3VCUlT73aFdBBB,co-op,2024-12-08,3,ClapDxmCheeks,GameTateO,Ghost_003,,http://www.speedrun.com/BO6Zombies/run/yww15w3y,verified
