game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=0q5zd5nq; gnxj7pgl=810y752l,PC,3m 23.000s,https://www.youtube.com/watch?v=w_PK4EXWHSw,,co-op,2021-07-10,2,FingingYaNans,RavioliSlayer,,,http://www.speedrun.com/bocwz/run/y8d4rdnz,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=z198x88q; 2lg396np=5leo55qo; wlewprl6=xqkd5nl9,PC,47m 43.300s,https://youtu.be/1TT9KJSRQac,,solo,2021-07-11,1,FingingYaNans,,,,http://www.speedrun.com/bo3zombies/run/me75j62y,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=jqzdkmlp,PC,1m 32.650s,https://youtu.be/y5Y6YVpwSHs,,solo,2021-07-11,1,FingingYaNans,,,,http://www.speedrun.com/bo3zombies/run/me75362y,verified
