game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=rqvo0d7l; 5ly1w0kl=p12pepkq; jlzrv9y8=81wj8nvq,Xbox One,2m 37.000s,https://youtu.be/j8HVLUVlbZc,,solo,2021-07-16,1,Rhysbevan1944,,,,http://www.speedrun.com/bocwz/run/z0rgjx8z,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=rqvo0d7l; 0nw715r8=gq70vzyl; dlo750j8=jq6w74jl,Xbox One,3m 16.000s,https://youtu.be/udCZdcQZMR0,,co-op,2021-04-15,2,Rhysbevan1944,Jonnybeam,,,http://www.speedrun.com/bocwz/run/y997e0ey,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0137jrdl; 0nw715r8=gq70vzyl; dlo750j8=jq6w74jl,Xbox One,3m 6.130s,https://youtu.be/2AcVGXW7yBQ,,solo,2021-04-09,1,Rhysbevan1944,,,,http://www.speedrun.com/bocwz/run/m7d196em,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,Xbox One,3m 11.000s,https://youtu.be/Mt-Q-OCcLMc,,solo,2021-04-09,1,Rhysbevan1944,,,,http://www.speedrun.com/bocwz/run/mr43wv8z,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,Xbox One,3m 11.000s,https://youtu.be/KlQe4CWFcZg,,solo,2021-04-08,1,Rhysbevan1944,,,,http://www.speedrun.com/bocwz/run/y9n4wxrz,rejected
