game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops IIII Zombies,,Tag Der Toten,p853770n=21d3xn3q; 5lyjm0yl=0132y83q; 38dj3318=5lmg0eyl,PlayStation 4,31m 58.000s,https://youtu.be/VcVsVV21rk0,,solo,2022-01-17,1,kanger99,,,,http://www.speedrun.com/bo4zombies/run/z5vvn2dm,verified
Call of Duty: Black Ops IIII Zombies,,Voyage of Despair,dlomvkd8=5lmn2zmq; 5lyjm0yl=0132y83q; e8mywzx8=4lx4d8jq,PlayStation 4,42m 52.883s,https://youtu.be/nydWr8Lxe_c,,solo,2021-06-25,1,kanger99,,,,http://www.speedrun.com/bo4zombies/run/zggj8ljz,verified
Call of Duty: Black Ops IIII Zombies,,Blood of the Dead,0nw2zqkn=5le8vz6l; 5lyjm0yl=0132y83q; 789k790l=4qy4822q,PlayStation 4,1h 35m 11.483s,https://youtu.be/1LsnFAI84iY,,solo,2021-06-22,1,kanger99,,,,http://www.speedrun.com/bo4zombies/run/z0rqvk9z,verified
