game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,Xbox Series X,21m 48.200s,https://www.youtube.com/watch?v=aHQYjMrTByg,,co-op,2024-11-03,2,VGamingTTV,socomjarrard11,,,http://www.speedrun.com/BO6Zombies/run/znx69p8y,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qj747goq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,Xbox Series X,26m 24.000s,https://www.twitch.tv/videos/2289191207,,solo,2024-10-30,1,VGamingTTV,,,,http://www.speedrun.com/BO6Zombies/run/y8pl3dxz,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,Xbox Series X,26m 21.000s,https://www.twitch.tv/videos/2289940735,,solo,2024-10-30,1,VGamingTTV,,,,http://www.speedrun.com/BO6Zombies/run/yvxe32oz,verified
