game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=jqzxgy81; 2lg396np=5leo55qo; ylp4kjlg=z195dr0q,PC,3m 16.960s,https://youtu.be/4d08RnZ31tg,,solo,2018-09-30,1,RuffianAU,,,,http://www.speedrun.com/bo3zombies/run/y89e4vwm,verified
Call of Duty: Black Ops IIII Zombies,,Alpha Omega,9l71mw7l=jqzx4w21; 5lyjm0yl=0132y83q; yn21k7j8=5q8dz3yl,PlayStation 4,8m 22.000s,https://youtu.be/Q2e9vtJjZqg,,solo,2019-07-25,1,RuffianAU,,,,http://www.speedrun.com/bo4zombies/run/yd60dnvz,verified
Call of Duty: Black Ops IIII Zombies,,Blood of the Dead,0nw2zqkn=rqvdzwyq; 5lyjm0yl=rqvmnpwq; 789k790l=21ggoro1,PC,4m 8.000s,https://www.youtube.com/watch?v=-88g5Xk7Xzg&feature=youtu.be,,co-op,2018-11-12,2,Rimey,RuffianAU,,,http://www.speedrun.com/bo4zombies/run/zg7q2qjz,verified
Call of Duty: Black Ops IIII Zombies,,Blood of the Dead,0nw2zqkn=013r4ey1; 5lyjm0yl=0132y83q; 789k790l=jqz4y7kl,PC,2m 43.000s,https://www.youtube.com/watch?v=1VIQhx0TqtQ&feature=youtu.be,,solo,2018-11-12,1,RuffianAU,,,,http://www.speedrun.com/bo4zombies/run/zg7qeo0z,verified
Call of Duty: Black Ops IIII Zombies,,Blood of the Dead,0nw2zqkn=rqvdzwyq; 5lyjm0yl=rqvmnpwq; 789k790l=21ggoro1,PC,5m 3.000s,https://www.youtube.com/watch?v=-7n_hNppxS8&feature=youtu.be,,co-op,2018-11-11,2,Rimey,RuffianAU,,,http://www.speedrun.com/bo4zombies/run/y92xvk2z,verified
