game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=qznxn34q; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,5m 2.860s,https://youtu.be/DEZ-IIdViVY,,solo,2024-12-29,1,ItsOni,,,,http://www.speedrun.com/BO6Zombies/run/zq2wlw8z,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=qznxn34q; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,5m 30.840s,https://youtu.be/4AtlThUe29g,,solo,2024-12-28,1,ItsOni,,,,http://www.speedrun.com/BO6Zombies/run/y6g5qjqm,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=1gn2npxl; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,5m 51.840s,https://www.youtube.com/watch?v=kUuGdSVJ-pA,,solo,2024-12-23,1,ItsOni,,,,http://www.speedrun.com/BO6Zombies/run/zxj2vdgy,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=10vmvxpl; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,2m 9.350s,https://www.youtube.com/watch?v=7_l5SftBBkg,,solo,2024-12-15,1,ItsOni,,,,http://www.speedrun.com/BO6Zombies/run/zgj7erez,verified
