game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PlayStation 4,3m 37.720s,https://www.youtube.com/watch?v=kRoR79GPWt8,,solo,2018-08-12,1,dusk2,,,,http://www.speedrun.com/bo3zombies/run/y9218jez,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PlayStation 4,3m 16.110s,https://www.youtube.com/watch?v=7pEdMBvlzVY,,solo,2018-08-12,1,dusk2,,,,http://www.speedrun.com/bo3zombies/run/z513pg5m,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=21dvj0j1,PlayStation 4,21m 5.880s,https://www.youtube.com/watch?v=mW3gFct1DKY,,solo,2018-08-11,1,dusk2,,,,http://www.speedrun.com/bo3zombies/run/zx4dn9gy,rejected
