game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 5ly102l4=jq6mr71m,PC,11m 25.300s,https://youtu.be/XVhXNEsdn5E?si=ioQ5BCsVVT167EUi,,solo,2024-01-15,1,VortexBeater,,,,http://www.speedrun.com/bo2zombies/run/y9kr7kvz,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=5q8d4d3l; 2lg396np=5leo55qo; p85pd5lg=rqvvk45q,PC,26m 11.330s,https://youtu.be/rCEIafbZgcg?si=REEMU2VwzOsbayln,,solo,2024-02-05,1,VortexBeater,,,,http://www.speedrun.com/bo3zombies/run/yjwnnwgm,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PC,31m 34.550s,https://youtu.be/Wdn_uQ2r1Jw?si=It8uHPkKm2eCjjfW,,solo,2024-01-19,1,VortexBeater,,,,http://www.speedrun.com/bo3zombies/run/y4kd5knm,verified
