game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 6njyzen4=0q5ovwn1,PC,2m 59.037s,https://www.twitch.tv/videos/592306866,,solo,2020-04-14,1,Quick_Reset,,,,http://www.speedrun.com/bo2zombies/run/zqw3o55z,rejected
Call of Duty: Black Ops IIII Zombies,,Blood of the Dead,0nw2zqkn=5le8vz6l; 5lyjm0yl=0132y83q; 789k790l=21ggoro1,PlayStation 4,4m 22.000s,https://www.youtube.com/watch?v=Lq6SawP6FJc,,solo,2021-05-16,1,Quick_Reset,,,,http://www.speedrun.com/bo4zombies/run/m7d7xr5m,verified
Call of Duty: Black Ops IIII Zombies,,Blood of the Dead,0nw2zqkn=5le8vz6l; 5lyjm0yl=0132y83q; 789k790l=21ggoro1,PlayStation 4,6m 19.000s,https://www.youtube.com/watch?v=C2InwvoseKc,,solo,2021-01-17,1,Quick_Reset,,,,http://www.speedrun.com/bo4zombies/run/yj1k2g7y,verified
Call of Duty: Black Ops IIII Zombies,,Voyage of Despair,dlomvkd8=814d4oj1; 5lyjm0yl=0132y83q; e8mywzx8=21gg9r81,PlayStation 4,8m 13.000s,https://www.twitch.tv/videos/702476670,,solo,2020-08-06,1,Quick_Reset,,,,http://www.speedrun.com/bo4zombies/run/mrk57k8y,verified
Call of Duty: Black Ops IIII Zombies,,Voyage of Despair,dlomvkd8=814d4oj1; 5lyjm0yl=0132y83q; e8mywzx8=21gg9r81,PlayStation 4,7.013s,https://www.youtube.com/watch?v=RrP7RDP-yDM,,solo,2020-04-17,1,Quick_Reset,,,,http://www.speedrun.com/bo4zombies/run/znkr1wlz,rejected
