game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0137jrdl; 0nw715r8=mlnp4rd1; dlo750j8=jq6w74jl,PC,6m 35.000s,https://youtu.be/siMY9A9Dm3I,,solo,2021-02-21,1,Jommeh,,,,http://www.speedrun.com/bocwz/run/y8vx63nz,rejected
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,PC,3m 19.000s,https://youtu.be/z74qOYCyeNg,,solo,2020-10-23,1,Jommeh,,,,http://www.speedrun.com/bo3zombies/run/yv92kw6z,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=0q5x78m1,PC,3m 9.000s,https://youtu.be/mnUGIJBpXeA,,solo,2020-10-23,1,Jommeh,,,,http://www.speedrun.com/bo3zombies/run/yd0970xz,verified
