game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=rqvo0d7l; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,PC,53m 6.000s,https://www.bilibili.com/video/BV1KK4y1u72r/,,co-op,2021-07-17,2,zaprtqa,Dolly1124,,,http://www.speedrun.com/bocwz/run/mr1gv24z,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,33m 26.000s,https://www.bilibili.com/video/BV1u54y1a7Sh/,,co-op,2021-03-14,2,zaprtqa,Dolly1124,,,http://www.speedrun.com/bocwz/run/yj1q2qny,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,33m 57.000s,https://www.bilibili.com/video/BV1u54y1a7Sh/,,co-op,2021-03-14,2,zaprtqa,Dolly1124,,,http://www.speedrun.com/bocwz/run/zgx6e0nm,verified
