game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; p85revng=21dwgjle,PC,25m 46.350s,https://www.youtube.com/watch?v=tYfqum8GXHY,,co-op,2023-03-03,2,Squiddy,BigBrownTrain,,,http://www.speedrun.com/bo2zombies/run/znj26qlm,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=9qjx2e3l; 2lg396np=5leo55qo; ylp4gjlg=gq72yjp1,PC,1h 5m 6.080s,https://www.youtube.com/watch?v=mSV33zDnLj8,,solo,2021-02-08,1,Squiddy,,,,http://www.speedrun.com/bo3zombies/run/yv21ex4m,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=9qjx2e3l; 2lg396np=5leo55qo; ylp4gjlg=gq72yjp1,PC,1h 16m 46.069s,https://www.youtube.com/watch?v=1eZJk-RkRoU&t=2975s,,solo,2021-01-27,1,Squiddy,,,,http://www.speedrun.com/bo3zombies/run/zx623g8z,verified
