game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=jqz66kk1,PC,10m 10.000s,https://youtu.be/-W8XYdg9Rq8,,solo,2024-06-05,1,Fent,,,,http://www.speedrun.com/iwzombies/run/m30vergm,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=9qjw9k01,PC,1m 27.000s,https://youtu.be/yjmjhMnaQKk?si=FT4AVCUjF3H8msO1,,solo,2023-11-30,1,Fent,,,,http://www.speedrun.com/iwzombies/run/zn2roo9z,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=9qjw9k01,PC,1m 27.000s,https://youtu.be/yjmjhMnaQKk,,solo,2023-11-30,1,Fent,,,,http://www.speedrun.com/iwzombies/run/zxwnd3em,rejected
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; 789kjr0l=21gjjyo1,PC,6m 15.000s,https://youtu.be/aPALivdcSIY,,co-op,2023-11-28,2,Fent,Reziqs,,,http://www.speedrun.com/iwzombies/run/ylln46xy,rejected
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; onvyp7nm=9qjw9k01,PC,39.000s,https://youtu.be/doMHjoJm6nA,,co-op,2023-11-28,2,Fent,Reziqs,,,http://www.speedrun.com/iwzombies/run/znej4vvz,rejected
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=9qjw9k01,PC,29.000s,https://youtu.be/r6qpGhrUEpE,,solo,2023-11-28,1,Fent,,,,http://www.speedrun.com/iwzombies/run/z0xn3joz,rejected
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; 6njo6684=5lm8p0yq,PC,3m 2.000s,https://www.youtube.com/watch?v=sDfcQqEIyVk,https://youtu.be/z_lZlYBwgzE,co-op,2023-11-28,2,Fent,Reziqs,,,http://www.speedrun.com/iwzombies/run/mkqv9dxm,rejected
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; 6njo6684=5lm8p0yq,PC,3m 2.000s,https://youtu.be/z_lZlYBwgzE?si=G2j8X5udgnUltvzp,,co-op,2023-11-28,2,Fent,Reziqs,,,http://www.speedrun.com/iwzombies/run/zp61868m,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=81w486vq; onvyp7nm=9qjw9k01,PC,55.000s,https://youtu.be/3orWYrTAiAY?si=ugOEK0jTcgurfROT,,co-op,2023-11-28,3,Fent,Reziqs,SniperStrix,,http://www.speedrun.com/iwzombies/run/mrv1nv2z,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=81w486vq; onvyp7nm=9qjw9k01,PC,55.000s,https://youtu.be/3orWYrTAiAY,,co-op,2023-11-28,3,Fent,Reziqs,SniperStrix,,http://www.speedrun.com/iwzombies/run/me01r83z,rejected
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=9qjw9k01,PC,29.000s,https://youtu.be/r6qpGhrUEpE?si=-BSXtBQHS12cIRR1,,solo,2023-11-27,1,Fent,,,,http://www.speedrun.com/iwzombies/run/zq8rgg9z,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=9qjw9k01,PC,29.000s,https://youtu.be/r6qpGhrUEpE,,solo,2023-11-27,1,Fent,,,,http://www.speedrun.com/iwzombies/run/mr2rx27y,rejected
