game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; gnxjp4lv=5leozzqo,PC,48m 14.000s,https://www.youtube.com/watch?v=3NVPwuKH9Bk,,co-op,2022-05-21,2,Evanovic,Vynemar,,,http://www.speedrun.com/bo2zombies/run/m72w1v5z,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; gnxjp4lv=5leozzqo,PC,50m 48.170s,https://www.youtube.com/watch?v=kx4m7-fbkMQ,,co-op,2022-05-13,3,Evanovic,Vynemar,Orthren,,http://www.speedrun.com/bo2zombies/run/yoejnp0z,verified
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 5ly102l4=21geonml,PC,2m 35.550s,https://www.youtube.com/watch?v=OuM9r1b7kPg,,solo,2022-04-22,1,Evanovic,,,,http://www.speedrun.com/bo2zombies/run/yopjro7m,verified
