game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; 68k1vezl=q75rg8y1,PlayStation 4,19m 22.000s,https://www.youtube.com/watch?v=nyrIJS87xPE,https://youtu.be/_D2esQGTYtA?si=_RiSRgb3aZFYwcgS,solo,2025-01-31,1,logwalk_,,,,http://www.speedrun.com/BO6Zombies/run/zgjpj20z,rejected
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; 68k1vezl=q75rg8y1,PlayStation 4,19m 9.000s,https://www.youtube.com/watch?v=_D2esQGTYtA,https://youtu.be/nyrIJS87xPE?si=ngR5eF2ZEAT7QNtK,co-op,2025-01-24,2,logwalk_,Ssmac,,,http://www.speedrun.com/BO6Zombies/run/zn97q09y,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; 68k1vezl=q75rg8y1,PlayStation 5,22m 28.000s,https://youtube.com/watch?v=I9ioe8KCJvU&si=YbbbK2HjzkI6Uodt,,co-op,2025-01-22,2,logwalk_,Ssmac,,,http://www.speedrun.com/BO6Zombies/run/menjk5qm,verified
