game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,18m 7.600s,https://youtu.be/IsxhHRLpo2M,,co-op,2024-11-06,3,Darknet,shiookami,Praze,,http://www.speedrun.com/BO6Zombies/run/y2w6lw6y,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,18m 8.350s,https://youtu.be/Q02d3q6wulM,,co-op,2024-11-06,3,Praze,shiookami,Darknet,,http://www.speedrun.com/BO6Zombies/run/m7ojro0y,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,18m 4.290s,https://youtu.be/6MXz5ICGsxc,,co-op,2024-11-06,3,shiookami,Praze,Darknet,,http://www.speedrun.com/BO6Zombies/run/mk1xj1vy,verified
