game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=5leo55qo; ylqx7m8r=814oxreq,PC,9m 3.220s,https://youtu.be/6ee5rMlFZfo,,solo,2021-05-12,1,TenslasterGames,,,,http://www.speedrun.com/bo3zombies/run/z0rrxgoz,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=4qyj7j2q; 2lg396np=5leo55qo; ylqx7m8r=814oxreq,PC,8m 44.467s,https://youtu.be/6ee5rMlFZfo?t=548,,solo,2021-05-12,1,TenslasterGames,,,,http://www.speedrun.com/bo3zombies/run/yv11vd8y,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=810w6w2q; 2lg396np=5leo55qo; ylqx7m8r=814oxreq,PC,5m 55.000s,https://youtu.be/6ee5rMlFZfo?t=1086,,solo,2021-05-12,1,TenslasterGames,,,,http://www.speedrun.com/bo3zombies/run/yjggw0oy,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=4qyj7j2q; 2lg396np=5leo55qo; ylqx7m8r=814oxreq,PC,9m 4.002s,https://youtu.be/6ee5rMlFZfo?t=548,,solo,2021-05-12,1,TenslasterGames,,,,http://www.speedrun.com/bo3zombies/run/zp8klwry,rejected
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=5leo55qo; gnx65jnv=gq75zgy1,PlayStation 4,46m 41.097s,https://www.youtube.com/watch?v=3w5GImc5JGw,,solo,2021-01-30,1,TenslasterGames,,,,http://www.speedrun.com/bo3zombies/run/ylov77ky,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=9qjx2x3l; 2lg396np=5leo55qo; gnx65jnv=81py6nk1,PC,6m 7.000s,https://youtu.be/Pokn1oUoBqU,,solo,2021-01-29,1,TenslasterGames,,,,http://www.speedrun.com/bo3zombies/run/yw08l29m,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=5leo55qo; gnx65jnv=81py6nk1,PC,6m 21.000s,https://youtu.be/krSVO2TtBPc,,solo,2021-01-29,1,TenslasterGames,,,,http://www.speedrun.com/bo3zombies/run/mk73jr5y,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=5leo55qo; gnx65jnv=81py6nk1,PC,3m 33.817s,https://youtu.be/3N6dgLrcJKA,,solo,2021-01-28,1,TenslasterGames,,,,http://www.speedrun.com/bo3zombies/run/yv26ko8m,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=5leo55qo; gnx65jnv=81py6nk1,PlayStation 4,3m 56.260s,https://gaming.youtube.com/watch?v=L6GgffaKR74&feature=share,,solo,2018-08-11,1,TenslasterGames,,,,http://www.speedrun.com/bo3zombies/run/z11oq8gz,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=5leo55qo; gnx65jnv=gq75zgy1,PlayStation 4,31m 49.000s,https://youtu.be/7s1t7eqljms,,solo,2018-03-22,1,TenslasterGames,,,,http://www.speedrun.com/bo3zombies/run/y97r31nm,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=5leo55qo; gnx65jnv=gq75zgy1,PlayStation 4,32m 3.320s,https://www.youtube.com/watch?v=Z7juX6OhjUA,,solo,2018-03-06,1,TenslasterGames,,,,http://www.speedrun.com/bo3zombies/run/mrq5eody,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=xqkd5nl9,PlayStation 4,37m 57.000s,https://youtu.be/rRBCRH8SAyQ,,solo,2018-01-25,1,TenslasterGames,,,,http://www.speedrun.com/bo3zombies/run/y2qv736y,verified
