game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 5ly102l4=gq72yep1,PC,5m 17.560s,https://www.twitch.tv/videos/1861065619,,solo,2023-07-01,1,KiloSamus,,,,http://www.speedrun.com/bo2zombies/run/y62xne6z,rejected
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; yn23jdl5=81009651,PC,3m 34.740s,https://www.twitch.tv/videos/1861065619,,solo,2023-07-01,1,KiloSamus,,,,http://www.speedrun.com/bo2zombies/run/ywr6jg3m,rejected
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PC,3m 40.720s,https://www.youtube.com/watch?v=6fVdMcuomkc,,solo,2023-07-01,1,KiloSamus,,,,http://www.speedrun.com/bo2zombies/run/mel1j68z,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=814nn0ld,PC,3m 38.920s,https://www.youtube.com/watch?v=6fVdMcuomkc,,solo,2023-07-01,1,KiloSamus,,,,http://www.speedrun.com/bo2zombies/run/znvq06vm,verified
