game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=0q56pm1p; 38dw04n0=jqz2ogqp,PC,51m 12.000s,https://www.youtube.com/watch?v=L_VTeakz2ak&t=810s,,co-op,2022-09-07,2,EncoVann,Sgt.Fenrir#,,,http://www.speedrun.com/bo3zombies/run/y2ep8ewy,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=jqzdkmlp,PC,2m 27.000s,https://www.youtube.com/watch?v=HDEprk7SFLk,,solo,2022-07-19,1,EncoVann,,,,http://www.speedrun.com/bo3zombies/run/mkknk15m,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=jqzdkmlp,PC,2m 47.000s,https://www.youtube.com/watch?v=77yAq4QgYtQ&t=30s,,solo,2022-07-17,1,EncoVann,,,,http://www.speedrun.com/bo3zombies/run/znp6ndvm,verified
