game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=z198x88q; 2lg396np=5leo55qo; wlewprl6=21dvj0j1,PC,9m 45.000s,https://youtu.be/smqfoNDiPM8,,solo,2019-07-14,1,marnickowner,,,,http://www.speedrun.com/bo3zombies/run/znrkeoly,rejected
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=jqzdk2lp,PC,2m 11.870s,https://youtu.be/3-BWRCGH5A0,,solo,2019-07-13,1,marnickowner,,,,http://www.speedrun.com/bo3zombies/run/yw486n3z,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=5leo55qo; gnx65jnv=9qjwxn01,PC,13m 38.000s,https://youtu.be/K8fbwNi2Mh0,,solo,2019-07-13,1,marnickowner,,,,http://www.speedrun.com/bo3zombies/run/z57jeodm,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=jqzdkmlp,PC,1m 39.033s,https://www.youtube.com/watch?v=HUX3RxGkWPM&feature=youtu.be,,solo,2019-07-12,1,marnickowner,,,,http://www.speedrun.com/bo3zombies/run/yd65w5wz,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=jqzdkmlp,PC,1m 36.090s,https://youtu.be/ODtQK-LtMa0,,solo,2019-07-12,1,marnickowner,,,,http://www.speedrun.com/bo3zombies/run/yj3lpjnz,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=jqzdkmlp,PC,1.049s,https://www.youtube.com/watch?v=BPmhmtfydsY&feature=youtu.be,,solo,2019-07-11,1,marnickowner,,,,http://www.speedrun.com/bo3zombies/run/z015ow8y,rejected
Call of Duty: Black Ops IIII Zombies,,Blood of the Dead,0nw2zqkn=5le8vz6l; 5lyjm0yl=0132y83q; 789k790l=klr76wwq,PC,14m 31.003s,https://youtu.be/CI5MKFsGLIA,,solo,2019-07-14,1,marnickowner,,,,http://www.speedrun.com/bo4zombies/run/z015xejy,verified
