game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=5lez085l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,Xbox Series S,30m 12.001s,https://www.twitch.tv/videos/815088720,,co-op,2020-11-25,3,UDG,RipleyGames,ShawnJ,,http://www.speedrun.com/bocwz/run/zn3v419y,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,Xbox Series S,29m 8.020s,https://www.twitch.tv/videos/811618660,,solo,2020-11-21,1,UDG,,,,http://www.speedrun.com/bocwz/run/y8r0jpwm,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,Xbox Series S,30m 27.062s,https://www.twitch.tv/videos/810333415,,solo,2020-11-20,1,UDG,,,,http://www.speedrun.com/bocwz/run/zgv2k0dz,rejected
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,Xbox Series S,35m 33.085s,https://www.twitch.tv/videos/808116662,,solo,2020-11-19,1,UDG,,,,http://www.speedrun.com/bocwz/run/z1ogvq9m,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,Xbox Series S,33m 35.065s,https://www.twitch.tv/videos/808641660,,solo,2020-11-19,1,UDG,,,,http://www.speedrun.com/bocwz/run/ywd6o12z,verified
