game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=21g9nxxq,PC,16m 10.000s,https://www.twitch.tv/videos/707788465,,solo,2020-08-12,1,AsneL,,,,http://www.speedrun.com/bo2zombies/run/mk3x7nxz,rejected
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21d6k23q,PC,16m 46.000s,https://www.twitch.tv/videos/707784811,,solo,2020-08-11,1,AsneL,,,,http://www.speedrun.com/bo2zombies/run/yd5p9xvm,rejected
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 2lg32qnp=xqkoez91,PC,16m 40.000s,https://www.twitch.tv/videos/707785959,,solo,2020-08-11,1,AsneL,,,,http://www.speedrun.com/bo2zombies/run/z150847y,rejected
