game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=4qy4k37q; 5lyjm0yl=0132y83q; kn0zwr38=8107235l,PC,35m 15.000s,https://www.youtube.com/watch?v=rVF4fBH2vbs,,solo,2018-12-29,1,FearfulFerret,,,,http://www.speedrun.com/bo4zombies/run/yd32d9xz,verified
Call of Duty: Black Ops IIII Zombies,,Voyage of Despair,dlomvkd8=5lmn2zmq; 5lyjm0yl=0132y83q; e8mywzx8=4lxyjprq,PC,51m 56.000s,https://www.youtube.com/watch?v=dBjABc90L4Q,,solo,2018-11-27,1,FearfulFerret,,,,http://www.speedrun.com/bo4zombies/run/zx4n39qy,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=5lmnwj0q; 5lyjm0yl=0132y83q; 0nw2z6xn=p12z4ev1,PC,47m 51.000s,https://youtu.be/pjqZ2pdFBK0,,solo,2018-10-29,1,FearfulFerret,,,,http://www.speedrun.com/bo4zombies/run/y43q03qz,verified
